立案时间,火警地址,纬度,经度,地理编码状态
2025/1/20 4:23,浦东新区 周浦镇 环桥路1137弄（秀怡苑）17号3楼,31.13705,121.601998,成功
2025/1/20 13:21,浦东新区 惠南镇 通济路47弄13号农村自建房（居民自处）（消防处置）,31.043775,121.745982,成功
2025/1/19 20:22,浦东新区 花木街道 迎春路 靠近 紫槐路（祭扫）（燃烧物质燃尽）（到场未处置）,31.225854,121.562173,成功
2025/1/19 19:33,浦东新区 周家渡街道 成山路350弄15号（居民处置）（到场未处置）,31.170209,121.503929,成功
2025/1/19 17:58,浦东新区 宣桥镇 沪南公路8000号 靠近 申杰路门口（消防处置）（到场处置）,31.034651,121.683718,成功
2025/1/19 17:26,浦东新区 泥城镇 南芦公路 靠近 海学路 往东（消防处置）（到场处置）,30.927001,121.791645,成功
2025/1/19 16:02,浦东新区 东明路街道 上浦路 靠近 长清路（消防处置）（到场处置）,31.150611,121.49253,成功
2025/1/19 14:56,浦东新区 浦兴路街道 五莲路地铁站1号口外（微站处置）（到场未处置）,31.272025,121.587866,成功
2025/1/19 15:35,浦东新区 川沙新镇 川南奉公路 靠近 航殷路 路口北面（消防处置）（到场处置）,31.197886,121.739461,成功
2025/1/19 14:40,浦东新区 周浦镇 望春花路 靠近 康新公路围墙里（居民处置）（到场未处置）,31.095453,121.629544,成功
2025/1/19 13:09,浦东新区 洋泾街道 崮山路 靠近 灵山路 路口 北面桥边（微站处置）（到场处置）,31.227308,121.527318,成功
2025/1/19 14:23,浦东新区 张江镇 玉兰香苑4期54号602室（居民处置）（到场未处置）,31.200768,121.63702,成功
2025/1/19 12:50,浦东新区 塘桥街道 蓝村路470弄(文兰小区)14号401室（经核实无需消防处置）（到场未处置）,31.211245,121.525005,成功
2025/1/19 12:47,浦东新区 书院镇 临团公路 靠近 两港大道口（消防处置）（到场处置）,30.914347,121.891557,成功
2025/1/19 12:01,浦东新区 北蔡镇 博华路1018弄16号（驻防车出动）（其他社会力量处置）（到场未处置）,31.169054,121.552235,成功
2025/1/19 7:39,浦东新区 泥城镇 马厂村村委会北侧（消防处置）（到场处置）,31.207135,121.693661,成功
2025/1/18 18:24,浦东新区 曹路镇 滨源公路 不到 东靖路（消防处置）（到场处置）,31.275906,121.715919,成功
2025/1/18 19:17,浦东新区 南汇新城镇 白荆路 靠近 洛神花路路口（消防处置）（到场处置）,30.921166,121.938853,成功
2025/1/18 22:57,浦东新区 金杨新村街道 居家桥路 靠近 灵山路口（祭扫）（居民处置）（到场未处置）,31.252958,121.565793,成功
2025/1/18 18:11,浦东新区 川沙新镇纯新村 纯新南支路（消防处置）（到场处置）,31.135447,121.708036,成功
2025/1/18 15:26,浦东新区 康桥镇 沔新路599号附近（消防处置）（到场处置）,31.145328,121.637645,成功
2025/1/18 12:46,浦东新区 航头镇长达村长浜10组945号（消防处置）（到场处置）,31.142886,121.58853,成功
2025/1/18 7:24,浦东新区 周家渡街道 昌里东路190弄8号21楼(云台二小区)（祭扫）（居民处置）（到场未处置）,31.176341,121.508249,成功
2025/1/18 2:23,浦东新区 香楠路39弄17号,31.215758,121.61276,成功
2025/1/17 22:56,浦东新区 祝桥镇 施宏路 靠近 川南奉公路（消防处置）（到场处置）,31.049175,121.775558,成功
2025/1/17 23:02,浦东新区 塘桥街道 东方路1669弄8号9楼（消防处置）（到场处置）,31.205227,121.525958,成功
2025/1/17 22:35,浦东新区 康桥镇 梓康路580弄89号304室（燃烧物质燃尽）（到场处置）,31.12161,121.561418,成功
2025/1/17 18:42,浦东新区 南汇新城镇 云皓路518弄万达钻石湾7号楼下（其他社会力量处置）（到场未处置）,30.922929,121.918966,成功
2025/1/17 16:46,浦东新区 北蔡镇 鹏岳路152弄13号9楼（驻防车出动）（祭扫）（居民处置）（到场未处置）,31.170899,121.554118,成功
2025/1/17 16:23,浦东新区 书院镇洼港村五号路 靠近洼港 四灶路（消防处置）（到场处置）,30.967904,121.881378,成功
2025/1/17 15:37,浦东新区 曹路镇 华东路 靠近 顾明路 联之梦农场附近（消防处置）（到场处置）,31.207135,121.693661,成功
